Дата;"Реальная сумма";"Планируемая сумма";"Валюта";"Категория";"Описание";"Счёт";"Конверт";"Перевод"		
2023-11-03;"-4.0";"";"azn";"Развлечения и хобби";"4";"Кошелёк";"ХаниМани";""		
2023-11-03;"-7.2";"";"azn";"Продукты";"7.2";"Albali kart";"ХаниМани";""		
2023-11-02;"77.0";"";"azn";"";"";"";"";"ASB kart => Albali кредитная карта"		
2023-11-02;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-11-02;"-3.4";"";"azn";"Продукты";"3.4";"Кошелёк";"ХаниМани";""		
2023-11-02;"-30.0";"";"azn";"Продукты";"30 bal";"Albali кредитная карта";"ХаниМани";""		
2023-11-02;"-23.0";"";"azn";"Проценты и бонусы";"23";"ASB kart";"ХаниМани";""		
2023-11-02;"-10.0";"";"azn";"Подарки";"10 Эльхану";"ASB kart";"ХаниМани";""		
2023-11-02;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-11-01;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-11-01;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-11-01;"265.0";"";"azn";"";"";"";"";"ASB kart => Страхование жизни"		
2023-11-01;"-3.0";"";"azn";"Интернет и связь";"3 Ilqar";"Albali kart";"ХаниМани";""		
2023-11-01;"2062.0";"1900.0";"azn";"Зарплата Ильгар";"1797 265";"ASB kart";"Резервы";""		
2023-11-01;"-10.0";"";"azn";"Подарки";"10";"Кошелек Самира";"ХаниМани";""		
2023-10-31;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-10-31;"-12.6";"";"azn";"Подарки";"12.6";"Albali кредитная карта";"ХаниМани";""		
2023-10-31;"-11.0";"";"azn";"Транспорт";"11";"Кошелек Самира";"ХаниМани";""		
2023-10-30;"-16.0";"";"azn";"Транспорт";"16";"Кошелек Самира";"ХаниМани";""		
2023-10-30;"-15.0";"";"azn";"Интернет и связь";"15 ailenet";"Albali кредитная карта";"ХаниМани";""		
2023-10-30;"-2.5";"";"azn";"Ребенок";"2.5";"Кошелёк";"ХаниМани";""		
2023-10-30;"-1.0";"";"azn";"Продукты";"1";"Albali kart";"ХаниМани";""		
2023-10-29;"-10.0";"";"azn";"Продукты";"10";"Albali kart";"ХаниМани";""		
2023-10-29;"-62.0";"";"azn";"Продукты";"62";"Albali kart";"ХаниМани";""		
2023-10-29;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-29;"50.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-29;"-10.0";"";"azn";"Автомобиль / Мойка";"10";"Кошелёк";"ХаниМани";""		
2023-10-29;"-25.0";"";"azn";"Ребенок";"25 подгузники";"Albali kart";"ХаниМани";""		
2023-10-29;"-47.6";"";"azn";"Медицина / Лекарства";"47.6";"Albali kart";"ХаниМани";""		
2023-10-28;"87.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2023-10-27;"-5.0";"";"azn";"Транспорт";"5";"Albali kart";"ХаниМани";""		
2023-10-27;"-6.0";"";"azn";"Транспорт";"6";"Кошелек Самира";"ХаниМани";""		
2023-10-27;"-20.0";"";"azn";"Автомобиль / Бензин";"20";"Albali kart";"ХаниМани";""		
2023-10-26;"300.0";"";"azn";"";"";"";"";"Albali кредитная карта => YapiKrediBank kredit"		
2023-10-26;"-17.0";"";"azn";"Продукты";"17";"Albali kart";"ХаниМани";""		
2023-10-26;"-10.3";"";"azn";"Ребенок";"10.3 подгузники";"Albali кредитная карта";"ХаниМани";""		
2023-10-26;"-5.0";"";"azn";"Продукты";"5";"Albali кредитная карта";"ХаниМани";""		
2023-10-25;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-25;"-2.3";"";"azn";"Продукты";"2.3";"Albali kart";"ХаниМани";""		
2023-10-25;"40.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-25;"-10.0";"";"azn";"Платный софт";"10 onworks.net";"Albali kart";"ХаниМани";""		
2023-10-25;"-12.0";"";"azn";"Транспорт";"12";"Кошелек Самира";"ХаниМани";""		
2023-10-24;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-24;"-12.0";"";"azn";"Транспорт";"12";"Кошелек Самира";"ХаниМани";""		
2023-10-24;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-10-24;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-24;"-2.0";"";"azn";"Ребенок";"2";"Кошелек Самира";"ХаниМани";""		
2023-10-24;"-10.35";"";"azn";"Продукты";"10.35";"Albali kart";"ХаниМани";""		
2023-10-24;"-3.41";"";"azn";"Медицина / Лекарства";"3.41";"Albali кредитная карта";"ХаниМани";""		
2023-10-23;"85.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-10-22;"-6.45";"";"azn";"Продукты";"6.45";"Albali kart";"ХаниМани";""		
2023-10-21;"-5.0";"";"azn";"Платный софт";"5";"ASB kart";"ХаниМани";""		
2023-10-20;"-9.0";"";"azn";"Продукты";"9";"Albali kart";"ХаниМани";""		
2023-10-20;"-5.0";"";"azn";"Развлечения и хобби";"5";"Кошелёк";"ХаниМани";""		
2023-10-20;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-20;"-6.0";"";"azn";"Платный софт";"6 focus todo";"Albali кредитная карта";"ХаниМани";""		
2023-10-20;"-18.0";"";"azn";"Транспорт";"18";"Кошелек Самира";"ХаниМани";""		
2023-10-19;"10.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-19;"-40.0";"";"azn";"Кафе	 ресторан";"40";"Кошелёк";"ХаниМани";""	
2023-10-19;"-15.0";"";"azn";"Транспорт";"15";"Кошелек Самира";"ХаниМани";""		
2023-10-18;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-18;"-20.0";"";"azn";"Продукты";"20";"Albali kart";"ХаниМани";""		
2023-10-18;"-16.0";"";"azn";"Транспорт";"16";"Кошелек Самира";"ХаниМани";""		
2023-10-18;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-10-17;"100.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2023-10-17;"-15.0";"";"azn";"Транспорт";"15";"Кошелек Самира";"ХаниМани";""		
2023-10-17;"-26.0";"";"azn";"Транспорт";"26";"Кошелёк";"ХаниМани";""		
2023-10-17;"11.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-16;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-16;"-6.73";"";"azn";"Продукты";"6.73";"Albali kart";"ХаниМани";""		
2023-10-16;"-1.0";"";"azn";"Ребенок";"1";"Кошелек Самира";"ХаниМани";""		
2023-10-16;"-35.0";"";"azn";"Продукты";"35";"Albali кредитная карта";"ХаниМани";""		
2023-10-16;"-5.12";"";"azn";"Ребенок";"5.12";"Albali kart";"ХаниМани";""		
2023-10-16;"-19.0";"";"azn";"Транспорт";"19";"Кошелек Самира";"ХаниМани";""		
2023-10-16;"-24.0";"";"azn";"Медицина / Лекарства";"24";"Albali кредитная карта";"ХаниМани";""		
2023-10-16;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-16;"-20.0";"";"azn";"Автомобиль / Бензин";"20";"Albali kart";"ХаниМани";""		
2023-10-16;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-10-15;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-10-15;"-51.0";"";"azn";"Ребенок";"51 одежда";"Albali кредитная карта";"ХаниМани";""		
2023-10-15;"-8.0";"";"azn";"Продукты";"8";"Albali kart";"ХаниМани";""		
2023-10-15;"-12.0";"";"azn";"Интернет и связь";"12 Ilqar";"Albali кредитная карта";"ХаниМани";""		
2023-10-14;"-2.4";"";"azn";"Продукты";"2.4";"Кошелек Самира";"ХаниМани";""		
2023-10-14;"-7.0";"";"azn";"Продукты";"7";"Albali kart";"ХаниМани";""		
2023-10-14;"-2.0";"";"azn";"Ребенок";"2";"Кошелек Самира";"ХаниМани";""		
2023-10-13;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-13;"-4.0";"";"azn";"Развлечения и хобби";"4";"Кошелёк";"ХаниМани";""		
2023-10-13;"-8.0";"";"azn";"Транспорт";"8";"Albali кредитная карта";"ХаниМани";""		
2023-10-13;"-5.0";"";"azn";"Транспорт";"5";"Кошелек Самира";"ХаниМани";""		
2023-10-12;"-13.0";"-15.0";"azn";"Транспорт";"13";"Кошелек Самира";"Резервы";""		
2023-10-12;"-25.4";"";"azn";"Продукты";"25.40";"Albali kart";"ХаниМани";""		
2023-10-12;"-64.0";"";"azn";"Медицина / Лекарства";"64 Minoxidil";"Albali кредитная карта";"ХаниМани";""		
2023-10-11;"12.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-11;"-6.0";"-10.0";"azn";"Ком. услуги / Вода";"6";"Albali кредитная карта";"Резервы";""		
2023-10-11;"-6.0";"";"azn";"Транспорт";"6";"Кошелек Самира";"ХаниМани";""		
2023-10-11;"-6.0";"";"azn";"Транспорт";"6";"Albali кредитная карта";"ХаниМани";""		
2023-10-10;"-16.0";"";"azn";"Транспорт";"16";"Кошелек Самира";"ХаниМани";""		
2023-10-10;"10.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-10;"327.0";"327.0";"azn";"Пенсия Самира";"327";"ABB kart Samira";"Резервы";""		
2023-10-10;"-12.0";"-12.0";"azn";"Платный софт";"12 Memento databse";"ASB kart";"Резервы";""		
2023-10-09;"-12.0";"";"azn";"Транспорт";"12";"Кошелек Самира";"ХаниМани";""		
2023-10-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"Albali кредитная карта";"Резервы";""		
2023-10-08;"-15.0";"";"azn";"Продукты";"15";"Albali kart";"ХаниМани";""		
2023-10-07;"-36.7";"";"azn";"Медицина / Лекарства";"36.7";"Albali kart";"ХаниМани";""		
2023-10-07;"-5.0";"";"azn";"Дом";"5";"Кошелёк";"ХаниМани";""		
2023-10-07;"-103.0";"";"azn";"Ребенок";"103 одежда и игрушки";"Albali кредитная карта";"ХаниМани";""		
2023-10-07;"100.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-10-07;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-07;"-32.0";"";"azn";"Гигиена и красота";"32";"ASB kart";"ХаниМани";""		
2023-10-07;"-25.6";"";"azn";"Ребенок";"25.6 подгузники";"Albali kart";"ХаниМани";""		
2023-10-06;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-06;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-10-06;"-1.0";"";"azn";"Ребенок";"1";"Кошелек Самира";"ХаниМани";""		
2023-10-06;"-3.0";"";"azn";"Ребенок";"3";"Кошелёк";"ХаниМани";""		
2023-10-05;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-05;"-14.0";"";"azn";"Транспорт";"14";"Кошелек Самира";"ХаниМани";""		
2023-10-04;"85.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2023-10-04;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-04;"-15.0";"";"azn";"Транспорт";"15";"Кошелек Самира";"ХаниМани";""		
2023-10-04;"-3.0";"";"azn";"Продукты";"3";"Albali kart";"ХаниМани";""		
2023-10-04;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-10-03;"-1070.0";"";"azn";"Ребенок";"1070 aba terapiya";"ASB kart";"ХаниМани";""		
2023-10-03;"-14.0";"";"azn";"Транспорт";"14";"Кошелек Самира";"ХаниМани";""		
2023-10-03;"9.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-03;"-2.0";"";"azn";"Медицина / Лекарства";"2";"Albali kart";"ХаниМани";""		
2023-10-03;"-20.0";"-20.0";"azn";"Автомобиль / Бензин";"20";"Albali kart";"Резервы";""		
2023-10-03;"399.0";"";"azn";"";"";"";"";"ASB kart => Albali кредитная карта"		
2023-10-03;"-40.0";"-20.0";"azn";"Продукты";"40";"ASB kart";"Резервы";""		
2023-10-03;"-3.5";"";"azn";"Медицина / Лекарства";"3.5";"ASB kart";"ХаниМани";""		
2023-10-02;"-20.0";"";"azn";"Продукты";"20";"ABB kart Samira";"ХаниМани";""		
2023-10-02;"-23.65";"";"azn";"Ребенок";"23.65 подгузник";"ABB kart Samira";"ХаниМани";""		
2023-10-02;"-21.0";"";"azn";"Транспорт";"21";"Кошелек Самира";"ХаниМани";""		
2023-10-01;"-4.7";"";"azn";"Медицина / Лекарства";"4.7";"ABB kart Samira";"ХаниМани";""		
2023-10-01;"2013.0";"1900.0";"azn";"Зарплата Ильгар";"2013";"ASB kart";"Резервы";""		
2023-10-01;"264.0";"";"azn";"";"";"";"";"ASB kart => Страхование жизни"		
2023-10-01;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-10-01;"-1.5";"";"azn";"Ребенок";"1.5";"Кошелёк";"ХаниМани";""		
2023-10-01;"-13.9";"-20.0";"azn";"Продукты";"13.9";"ABB kart Samira";"Резервы";""		
2023-09-30;"-6.0";"";"azn";"Интернет и связь";"3 3";"ABB kart Samira";"ХаниМани";""		
2023-09-30;"-15.0";"";"azn";"Интернет и связь";"15 ailenet";"ABB kart Samira";"ХаниМани";""		
2023-09-30;"-5.0";"";"azn";"Продукты";"5";"ABB kart Samira";"ХаниМани";""		
2023-09-29;"-12.0";"";"azn";"Продукты";"12";"ABB kart Samira";"ХаниМани";""		
2023-09-29;"-14.0";"";"azn";"Транспорт";"14";"ABB kart Samira";"ХаниМани";""		
2023-09-29;"45.0";"";"azn";"";"";"";"";"ABB kart Samira => Кошелёк"		
2023-09-29;"-2.0";"";"azn";"Ребенок";"2";"Кошелек Самира";"ХаниМани";""		
2023-09-29;"-5.0";"";"azn";"Развлечения и хобби";"5";"Кошелёк";"ХаниМани";""		
2023-09-29;"-6.0";"";"azn";"Транспорт";"6";"Кошелек Самира";"ХаниМани";""		
2023-09-28;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-09-28;"-9.6";"";"azn";"Кафе	 ресторан";"9.6";"Albali kart";"ХаниМани";""	
2023-09-28;"-19.0";"";"azn";"Продукты";"19";"Albali kart";"ХаниМани";""		
2023-09-27;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-09-27;"30.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-09-27;"-1.0";"";"azn";"Ребенок";"1";"Кошелек Самира";"ХаниМани";""		
2023-09-27;"-5.5";"-20.0";"azn";"Продукты";"5.5";"Albali kart";"Резервы";""		
2023-09-26;"34.24";"";"azn";"Проценты и бонусы";"34.24 edv";"Albali kart";"ХаниМани";""		
2023-09-26;"-14.0";"";"azn";"Продукты";"14";"Albali kart";"ХаниМани";""		
2023-09-26;"300.0";"";"azn";"";"";"";"";"Albali кредитная карта => YapiKrediBank kredit"		
2023-09-26;"-1.6";"";"azn";"Гигиена и красота";"1.6";"Кошелек Самира";"ХаниМани";""		
2023-09-26;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-09-25;"-2.5";"-20.0";"azn";"Продукты";"2.5";"Кошелек Самира";"Резервы";""		
2023-09-25;"11.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-09-25;"-3.0";"";"azn";"Интернет и связь";"3 Ильгар";"Albali kart";"ХаниМани";""		
2023-09-25;"20.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-25;"-13.0";"";"azn";"Транспорт";"13";"Кошелек Самира";"ХаниМани";""		
2023-09-25;"50.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-25;"-6.6";"";"azn";"Продукты";"6.6";"Кошелёк";"ХаниМани";""		
2023-09-24;"-23.31";"";"azn";"Дом";"23.31";"ABB kart Samira";"ХаниМани";""		
2023-09-23;"-4.3";"";"azn";"Продукты";"4.3";"Albali kart";"ХаниМани";""		
2023-09-23;"-10.0";"";"azn";"Автомобиль / Бензин";"10";"Albali kart";"ХаниМани";""		
2023-09-23;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"ХаниМани";""		
2023-09-22;"-16.0";"";"azn";"Транспорт";"16";"Кошелек Самира";"ХаниМани";""		
2023-09-22;"-30.0";"";"azn";"Автомобиль / Бензин";"30";"Albali kart";"ХаниМани";""		
2023-09-22;"-34.6";"";"azn";"Продукты";"34.6";"Albali kart";"ХаниМани";""		
2023-09-22;"-40.0";"";"azn";"Ребенок";"40 aba terapiya";"Кошелек Самира";"ХаниМани";""		
2023-09-21;"-17.0";"";"azn";"Транспорт";"17";"Кошелек Самира";"ХаниМани";""		
2023-09-21;"50.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-09-20;"-1.5";"";"azn";"Ребенок";"1.5";"Кошелёк";"ХаниМани";""		
2023-09-20;"1.0";"";"azn";"";"";"";"";"Albali kart => Albali кредитная карта"		
2023-09-20;"100.0";"";"azn";"";"";"";"";"Albali кредитная карта => Albali kart"		
2023-09-20;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"ХаниМани";""		
2023-09-20;"5.0";"";"azn";"Проценты и бонусы";"5";"Albali kart";"ХаниМани";""		
2023-09-20;"-4.0";"";"azn";"Интернет и связь";"4 Самира";"Albali kart";"ХаниМани";""		
2023-09-19;"-4.6";"-20.0";"azn";"Продукты";"4.6";"Кошелек Самира";"Резервы";""		
2023-09-19;"20.0";"";"azn";"";"";"";"";"Кошелёк => Кошелек Самира"		
2023-09-19;"-12.0";"";"azn";"Транспорт";"12";"Кошелёк";"ХаниМани";""		
2023-09-19;"-7.4";"";"azn";"Ребенок";"1.5 5.9";"ASB kart";"ХаниМани";""		
2023-09-19;"-8.0";"";"azn";"Гигиена и красота";"8";"ASB kart";"ХаниМани";""		
2023-09-18;"-18.0";"";"azn";"Транспорт";"18";"Кошелек Самира";"ХаниМани";""		
2023-09-18;"80.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-18;"-2.4";"";"azn";"Продукты";"2.4";"ASB kart";"ХаниМани";""		
2023-09-17;"-20.0";"-20.0";"azn";"Продукты";"20";"Кошелёк";"Резервы";""		
2023-09-17;"-4.0";"";"azn";"Ребенок";"2 2";"Кошелёк";"ХаниМани";""		
2023-09-17;"-2.27";"";"azn";"Продукты";"2.27";"ASB kart";"ХаниМани";""		
2023-09-17;"-12.5";"";"azn";"Продукты";"12.5";"ASB kart";"ХаниМани";""		
2023-09-16;"-3.0";"";"azn";"Ребенок";"3";"Кошелёк";"ХаниМани";""		
2023-09-16;"-10.0";"";"azn";"Ребенок";"10 подгузники";"ASB kart";"ХаниМани";""		
2023-09-16;"-20.3";"";"azn";"Продукты";"20.30";"ASB kart";"ХаниМани";""		
2023-09-16;"-1.3";"";"azn";"Продукты";"1.3";"ASB kart";"ХаниМани";""		
2023-09-16;"-7.0";"";"azn";"Автомобиль / Мойка";"7";"Кошелёк";"ХаниМани";""		
2023-09-15;"-5.53";"-20.0";"azn";"Продукты";"5.53";"ASB kart";"Резервы";""		
2023-09-15;"-30.0";"";"azn";"Ребенок";"30 подгузники";"ASB kart";"ХаниМани";""		
2023-09-15;"-27.0";"";"azn";"Дом";"27 ковры мойка";"Кошелёк";"ХаниМани";""		
2023-09-15;"-5.0";"";"azn";"Развлечения и хобби";"5 футбол";"Кошелёк";"ХаниМани";""		
2023-09-15;"-9.0";"";"azn";"Продукты";"9";"Кошелёк";"ХаниМани";""		
2023-09-15;"-1.3";"";"azn";"Продукты";"1.3";"Кошелек Самира";"ХаниМани";""		
2023-09-15;"-1.5";"";"azn";"Ребенок";"1.5";"Кошелек Самира";"ХаниМани";""		
2023-09-14;"-12.0";"";"azn";"Транспорт";"12";"Кошелек Самира";"ХаниМани";""		
2023-09-14;"-100.0";"";"azn";"Ребенок";"100 aba terapiya";"Кошелек Самира";"ХаниМани";""		
2023-09-14;"-45.0";"";"azn";"Кафе	 ресторан";"45 С Андреем в ресторане";"Кошелёк";"ХаниМани";""	
2023-09-14;"-3.1";"";"azn";"Продукты";"3.1";"Кошелек Самира";"ХаниМани";""		
2023-09-13;"-23.0";"";"azn";"Продукты";"23";"ASB kart";"ХаниМани";""		
2023-09-13;"-18.0";"";"azn";"Транспорт";"18";"Кошелек Самира";"ХаниМани";""		
2023-09-13;"-455.0";"";"azn";"Ребенок";"455 Aba terapiya";"Кошелек Самира";"ХаниМани";""		
2023-09-13;"-10.4";"";"azn";"Продукты";"10.4";"Кошелёк";"ХаниМани";""		
2023-09-12;"700.0";"";"azn";"";"";"";"";"ASB kart => Кошелек Самира"		
2023-09-12;"-2.0";"";"azn";"Продукты";"2";"ASB kart";"ХаниМани";""		
2023-09-11;"-8.0";"-10.0";"azn";"Ком. услуги / Вода";"8";"ASB kart";"Резервы";""		
2023-09-11;"-12.0";"";"azn";"Транспорт";"12";"Кошелёк";"ХаниМани";""		
2023-09-11;"-60.0";"";"azn";"Ребенок";"60 психолог";"ASB kart";"ХаниМани";""		
2023-09-10;"-24.0";"-70.0";"azn";"Медицина / Лекарства";"24";"ASB kart";"Резервы";""		
2023-09-10;"-20.0";"-15.0";"azn";"Гигиена и красота";"20";"Кошелёк";"Резервы";""		
2023-09-10;"328.0";"327.0";"azn";"Пенсия Самира";"328";"ABB kart Samira";"Резервы";""		
2023-09-10;"200.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-10;"-17.65";"";"azn";"Подарки";"17.65";"ASB kart";"ХаниМани";""		
2023-09-10;"-20.0";"";"azn";"Автомобиль / Бензин";"20";"ASB kart";"ХаниМани";""		
2023-09-10;"-53.0";"";"azn";"Продукты";"53";"Кошелёк";"ХаниМани";""		
2023-09-09;"-5.0";"-20.0";"azn";"Продукты";"5";"Кошелёк";"Резервы";""		
2023-09-09;"-10.4";"";"azn";"Продукты";"10.4";"ASB kart";"ХаниМани";""		
2023-09-09;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"ХаниМани";""		
2023-09-08;"-5.6";"-5.6";"azn";"Платный софт";"5.6 ticktick";"ASB kart";"Резервы";""		
2023-09-08;"-90.0";"";"azn";"Ребенок";"90 к психиатру";"ASB kart";"ХаниМани";""		
2023-09-08;"-1.0";"";"azn";"Продукты";"1";"ASB kart";"ХаниМани";""		
2023-09-08;"-31.0";"";"azn";"Гигиена и красота";"31 фаберлик";"ASB kart";"ХаниМани";""		
2023-09-07;"-1.7";"-20.0";"azn";"Продукты";"1.7";"Кошелёк";"Резервы";""		
2023-09-07;"-27.6";"-30.0";"azn";"Ком. услуги / Электроэнергия";"27.6";"ASB kart";"Резервы";""		
2023-09-07;"-10.0";"";"azn";"Подарки";"10";"Кошелёк";"ХаниМани";""		
2023-09-07;"-7.0";"";"azn";"Продукты";"7";"ASB kart";"ХаниМани";""		
2023-09-06;"-2.0";"";"azn";"Ребенок";"2";"Кошелёк";"ХаниМани";""		
2023-09-06;"-22.0";"";"azn";"Продукты";"22";"Кошелёк";"ХаниМани";""		
2023-09-06;"-9.0";"";"azn";"Продукты";"9";"ASB kart";"ХаниМани";""		
2023-09-05;"-80.0";"";"azn";"Подарки";"20 Famil	 10 Sohrab	 Qezenfer emi 50 yaslar";"Кошелёк";"ХаниМани";""
2023-09-04;"185.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-04;"-1.0";"";"azn";"Дом";"1/";"ASB kart";"ХаниМани";""		
2023-09-04;"-32.0";"";"azn";"Ком. услуги / Квартира";"32";"Кошелёк";"ХаниМани";""		
2023-09-04;"-13.0";"";"azn";"Продукты";"13";"ASB kart";"ХаниМани";""		
2023-09-03;"300.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-09-03;"-25.0";"";"azn";"Автомобиль / Бензин";"25";"Кошелёк";"ХаниМани";""		
2023-09-03;"-4.4";"-20.0";"azn";"Продукты";"4.4";"ASB kart";"Резервы";""		
2023-09-03;"-40.0";"";"azn";"Продукты";"40";"Кошелёк";"ХаниМани";""		
2023-09-03;"-10.0";"";"azn";"Продукты";"10";"Кошелёк";"ХаниМани";""		
2023-09-03;"-200.0";"";"azn";"Гигиена и красота";"200 салон";"Кошелёк";"ХаниМани";""		
2023-09-03;"-8.0";"";"azn";"Продукты";"8";"Кошелёк";"ХаниМани";""		
2023-09-02;"-2.0";"";"azn";"Продукты";"2";"Кошелёк";"ХаниМани";""		
2023-09-02;"-23.0";"";"azn";"Кафе	 ресторан";"23";"Кошелёк";"ХаниМани";""	
2023-09-01;"1971.0";"1900.0";"azn";"Зарплата Ильгар";"1971";"ASB kart";"Резервы";""		
2023-09-01;"264.5";"";"azn";"Зарплата Ильгар";"264.5";"Страхование жизни";"ХаниМани";""		
2023-09-01;"-25.0";"";"azn";"Гигиена и красота";"25 салон";"Кошелёк";"ХаниМани";""		
2023-09-01;"-3.0";"";"azn";"Интернет и связь";"3 Ilqar";"Albali kart";"ХаниМани";""		
2023-08-31;"-15.0";"";"azn";"Продукты";"15";"Кошелёк";"ХаниМани";""		
2023-08-31;"-1.5";"";"azn";"Ребенок";"1.5";"Кошелёк";"ХаниМани";""		
2023-08-31;"-18.37";"";"azn";"Продукты";"18.37";"ABB kart Samira";"ХаниМани";""		
2023-08-30;"9.0";"";"azn";"";"";"";"";"Albali kart => ABB kart Samira"		
2023-08-30;"-15.0";"";"azn";"Интернет и связь";"15 ailenet";"Albali kart";"ХаниМани";""		
2023-08-30;"-13.04";"";"azn";"Гигиена и красота";"13.04";"ABB kart Samira";"ХаниМани";""		
2023-08-30;"-20.0";"-20.0";"azn";"Продукты";"20";"ABB kart Samira";"Резервы";""		
2023-08-29;"35.0";"";"azn";"";"";"";"";"Кошелёк => ASB kart"		
2023-08-29;"-8.0";"";"azn";"Продукты";"8";"Кошелёк";"ХаниМани";""		
2023-08-29;"-15.0";"";"azn";"Продукты";"15";"ASB kart";"ХаниМани";""		
2023-08-28;"-14.0";"-20.0";"azn";"Продукты";"14";"ASB kart";"Резервы";""		
2023-08-28;"-4.0";"";"azn";"Медицина / Лекарства";"4";"ASB kart";"ХаниМани";""		
2023-08-27;"-5.0";"";"azn";"Продукты";"5";"Кошелёк";"ХаниМани";""		
2023-08-27;"-3.0";"";"azn";"Продукты";"3";"ASB kart";"ХаниМани";""		
2023-08-26;"-8.0";"-20.0";"azn";"Продукты";"8";"ASB kart";"Резервы";""		
2023-08-26;"45.0";"";"azn";"";"";"";"";"ASB kart => Кошелёк"		
2023-08-26;"-15.1";"";"azn";"Подарки";"10.10 5";"ASB kart";"ХаниМани";""		
2023-08-26;"-10.0";"";"azn";"Подарки";"10";"Кошелёк";"ХаниМани";""		
2023-08-26;"300.0";"";"azn";"";"";"";"";"ASB kart => YapiKrediBank kredit"		
2023-08-25;"-12.0";"";"azn";"Интернет и связь";"12 Ильгар";"ASB kart";"ХаниМани";""		
2023-08-24;"-18.2";"-20.0";"azn";"Продукты";"18.2";"ASB kart";"Резервы";""		
2023-08-23;"-11.37";"";"azn";"Продукты";"11.37";"ASB kart";"ХаниМани";""		
